{ 1 JetEta 1 JetPt 1./[0] Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9093 0.0 0.0
-3.8390 -3.4890 5 10 6500 0.9983 0.0 0.0
-3.4890 -3.1390 5 10 6500 1.0413 0.0 0.0
-3.1390 -2.9640 5 10 6500 1.0467 0.0 0.0
-2.9640 -2.8530 5 10 6500 1.1907 0.0 0.0
-2.8530 -2.6500 5 10 6500 1.1668 0.0 0.0
-2.6500 -2.5000 5 10 6500 1.0404 0.0 0.0
-2.5000 -2.3220 5 10 6500 0.9673 0.0 0.0
-2.3220 -2.1720 5 10 6500 0.9613 0.0 0.0
-2.1720 -1.9300 5 10 6500 0.9779 0.0 0.0
-1.9300 -1.6530 5 10 6500 0.9766 0.0 0.0
-1.6530 -1.4790 5 10 6500 0.9745 0.0 0.0
-1.4790 -1.3050 5 10 6500 0.9799 0.0 0.0
-1.3050 -1.0440 5 10 6500 0.9698 0.0 0.0
-1.0440 -0.7830 5 10 6500 0.9831 0.0 0.0
-0.7830 -0.5220 5 10 6500 0.9817 0.0 0.0
-0.5220 -0.2610 5 10 6500 0.9768 0.0 0.0
-0.2610 -0.0000 5 10 6500 0.9796 0.0 0.0
-3.8390 -3.4890 5 10 6500 1.0059 0.0 0.0 { 1 JetEta 1 JetPt 1./[0] Correction L2Relative}
-3.4890 -3.1390 5 10 6500 1.0544 0.0 0.0
-3.1390 -2.9640 5 10 6500 1.0405 0.0 0.0
-2.9640 -2.8530 5 10 6500 1.0026 0.0 0.0
-2.8530 -2.6500 5 10 6500 0.9277 0.0 0.0
-2.6500 -2.5000 5 10 6500 0.9222 0.0 0.0
-2.5000 -2.3220 5 10 6500 0.9385 0.0 0.0
-2.3220 -2.1720 5 10 6500 0.9547 0.0 0.0
-2.1720 -1.9300 5 10 6500 0.9791 0.0 0.0
-1.9300 -1.6530 5 10 6500 0.9770 0.0 0.0
-1.6530 -1.4790 5 10 6500 0.9733 0.0 0.0
-1.4790 -1.3050 5 10 6500 0.9842 0.0 0.0
-1.3050 -1.0440 5 10 6500 0.9769 0.0 0.0
-1.0440 -0.7830 5 10 6500 0.9867 0.0 0.0
-0.7830 -0.5220 5 10 6500 0.9859 0.0 0.0
-0.5220 -0.2610 5 10 6500 0.9825 0.0 0.0
-0.2610 -0.0000 5 10 6500 0.9844 0.0 0.0
0.0000 0.2610 5 10 6500 0.9844 0.0 0.0
0.2610 0.5220 5 10 6500 0.9825 0.0 0.0
0.5220 0.7830 5 10 6500 0.9859 0.0 0.0
0.7830 1.0440 5 10 6500 0.9867 0.0 0.0
1.0440 1.3050 5 10 6500 0.9769 0.0 0.0
1.3050 1.4790 5 10 6500 0.9842 0.0 0.0
1.4790 1.6530 5 10 6500 0.9733 0.0 0.0
1.6530 1.9300 5 10 6500 0.9770 0.0 0.0
1.9300 2.1720 5 10 6500 0.9791 0.0 0.0
2.1720 2.3220 5 10 6500 0.9547 0.0 0.0
2.3220 2.5000 5 10 6500 0.9385 0.0 0.0
2.5000 2.6500 5 10 6500 0.9222 0.0 0.0
2.6500 2.8530 5 10 6500 0.9277 0.0 0.0
2.8530 2.9640 5 10 6500 1.0026 0.0 0.0
2.9640 3.1390 5 10 6500 1.0405 0.0 0.0
3.1390 3.4890 5 10 6500 1.0544 0.0 0.0
3.4890 3.8390 5 10 6500 1.0059 0.0 0.0 { 1 JetEta 1 JetPt 1./[0] Correction L2Relative}
0.0000 0.2610 5 10 6500 0.9796 0.0 0.0
0.2610 0.5220 5 10 6500 0.9768 0.0 0.0
0.5220 0.7830 5 10 6500 0.9817 0.0 0.0
0.7830 1.0440 5 10 6500 0.9831 0.0 0.0
1.0440 1.3050 5 10 6500 0.9698 0.0 0.0
1.3050 1.4790 5 10 6500 0.9799 0.0 0.0
1.4790 1.6530 5 10 6500 0.9745 0.0 0.0
1.6530 1.9300 5 10 6500 0.9766 0.0 0.0
1.9300 2.1720 5 10 6500 0.9779 0.0 0.0
2.1720 2.3220 5 10 6500 0.9613 0.0 0.0
2.3220 2.5000 5 10 6500 0.9673 0.0 0.0
2.5000 2.6500 5 10 6500 1.0404 0.0 0.0
2.6500 2.8530 5 10 6500 1.1668 0.0 0.0
2.8530 2.9640 5 10 6500 1.1907 0.0 0.0
2.9640 3.1390 5 10 6500 1.0467 0.0 0.0
3.1390 3.4890 5 10 6500 1.0413 0.0 0.0
3.4890 3.8390 5 10 6500 0.9983 0.0 0.0
3.8390 5.1910 5 10 6500 0.9093 0.0 0.0
