{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8900 0.2339 0.0
-3.8390 -3.4890 5 10 6500 0.9602 0.2783 0.0
-3.4890 -3.1390 5 10 6500 0.9849 0.3451 0.0
-3.1390 -2.9640 5 10 6500 0.9734 0.2180 0.0
-2.9640 -2.8530 5 10 6500 0.9946 -0.0604 0.0
-2.8530 -2.6500 5 10 6500 0.9861 0.1128 0.0
-2.6500 -2.5000 5 10 6500 0.9571 0.1501 0.0
-2.5000 -2.3220 5 10 6500 0.9346 0.0263 0.0
-2.3220 -2.1720 5 10 6500 0.9429 0.0404 0.0
-2.1720 -1.9300 5 10 6500 0.9609 0.0794 0.0
-1.9300 -1.6530 5 10 6500 0.9560 0.0986 0.0
-1.6530 -1.4790 5 10 6500 0.9543 0.0678 0.0
-1.4790 -1.3050 5 10 6500 0.9672 0.0703 0.0
-1.3050 -1.0440 5 10 6500 0.9700 0.0105 0.0
-1.0440 -0.7830 5 10 6500 0.9805 0.0244 0.0
-0.7830 -0.5220 5 10 6500 0.9801 0.0341 0.0
-0.5220 -0.2610 5 10 6500 0.9800 0.0274 0.0
-0.2610 -0.0000 5 10 6500 0.9810 0.0416 0.0
0.0000 0.2610 5 10 6500 0.9810 0.0416 0.0
0.2610 0.5220 5 10 6500 0.9800 0.0274 0.0
0.5220 0.7830 5 10 6500 0.9801 0.0341 0.0
0.7830 1.0440 5 10 6500 0.9805 0.0244 0.0
1.0440 1.3050 5 10 6500 0.9700 0.0105 0.0
1.3050 1.4790 5 10 6500 0.9672 0.0703 0.0
1.4790 1.6530 5 10 6500 0.9543 0.0678 0.0
1.6530 1.9300 5 10 6500 0.9560 0.0986 0.0
1.9300 2.1720 5 10 6500 0.9609 0.0794 0.0
2.1720 2.3220 5 10 6500 0.9429 0.0404 0.0
2.3220 2.5000 5 10 6500 0.9346 0.0263 0.0
2.5000 2.6500 5 10 6500 0.9571 0.1501 0.0
2.6500 2.8530 5 10 6500 0.9861 0.1128 0.0
2.8530 2.9640 5 10 6500 0.9946 -0.0604 0.0
2.9640 3.1390 5 10 6500 0.9734 0.2180 0.0
3.1390 3.4890 5 10 6500 0.9849 0.3451 0.0
3.4890 3.8390 5 10 6500 0.9602 0.2783 0.0
3.8390 5.1910 5 10 6500 0.8900 0.2339 0.0
