{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8926 0.2408 0.0
-3.8390 -3.4890 5 10 6500 0.9661 0.2742 0.0
-3.4890 -3.1390 5 10 6500 0.9667 0.1566 0.0
-3.1390 -2.9640 5 10 6500 0.9541 0.1707 0.0
-2.9640 -2.8530 5 10 6500 0.8891 -0.1024 0.0
-2.8530 -2.6500 5 10 6500 0.8770 0.1593 0.0
-2.6500 -2.5000 5 10 6500 0.8933 0.1580 0.0
-2.5000 -2.3220 5 10 6500 0.9167 0.0637 0.0
-2.3220 -2.1720 5 10 6500 0.9352 0.0124 0.0
-2.1720 -1.9300 5 10 6500 0.9676 0.0871 0.0
-1.9300 -1.6530 5 10 6500 0.9616 0.0951 0.0
-1.6530 -1.4790 5 10 6500 0.9604 0.1128 0.0
-1.4790 -1.3050 5 10 6500 0.9730 0.0811 0.0
-1.3050 -1.0440 5 10 6500 0.9775 0.0239 0.0
-1.0440 -0.7830 5 10 6500 0.9868 0.0297 0.0
-0.7830 -0.5220 5 10 6500 0.9858 0.0401 0.0
-0.5220 -0.2610 5 10 6500 0.9874 0.0373 0.0
-0.2610 -0.0000 5 10 6500 0.9881 0.0349 0.0
0.0000 0.2610 5 10 6500 0.9881 0.0349 0.0
0.2610 0.5220 5 10 6500 0.9874 0.0373 0.0
0.5220 0.7830 5 10 6500 0.9858 0.0401 0.0
0.7830 1.0440 5 10 6500 0.9868 0.0297 0.0
1.0440 1.3050 5 10 6500 0.9775 0.0239 0.0
1.3050 1.4790 5 10 6500 0.9730 0.0811 0.0
1.4790 1.6530 5 10 6500 0.9604 0.1128 0.0
1.6530 1.9300 5 10 6500 0.9616 0.0951 0.0
1.9300 2.1720 5 10 6500 0.9676 0.0871 0.0
2.1720 2.3220 5 10 6500 0.9352 0.0124 0.0
2.3220 2.5000 5 10 6500 0.9167 0.0637 0.0
2.5000 2.6500 5 10 6500 0.8933 0.1580 0.0
2.6500 2.8530 5 10 6500 0.8770 0.1593 0.0
2.8530 2.9640 5 10 6500 0.8891 -0.1024 0.0
2.9640 3.1390 5 10 6500 0.9541 0.1707 0.0
3.1390 3.4890 5 10 6500 0.9667 0.1566 0.0
3.4890 3.8390 5 10 6500 0.9661 0.2742 0.0
3.8390 5.1910 5 10 6500 0.8926 0.2408 0.0
