{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8984 0.2576 0.0
-3.8390 -3.4890 5 10 6500 0.9666 0.2898 0.0
-3.4890 -3.1390 5 10 6500 0.9630 0.1536 0.0
-3.1390 -2.9640 5 10 6500 0.9523 0.1140 0.0
-2.9640 -2.8530 5 10 6500 0.8849 0.0790 0.0
-2.8530 -2.6500 5 10 6500 0.8604 0.1784 0.0
-2.6500 -2.5000 5 10 6500 0.8830 0.1526 0.0
-2.5000 -2.3220 5 10 6500 0.9119 0.0669 0.0
-2.3220 -2.1720 5 10 6500 0.9363 0.0160 0.0
-2.1720 -1.9300 5 10 6500 0.9724 0.0708 0.0
-1.9300 -1.6530 5 10 6500 0.9662 0.0831 0.0
-1.6530 -1.4790 5 10 6500 0.9624 0.1147 0.0
-1.4790 -1.3050 5 10 6500 0.9756 0.0747 0.0
-1.3050 -1.0440 5 10 6500 0.9800 0.0207 0.0
-1.0440 -0.7830 5 10 6500 0.9881 0.0361 0.0
-0.7830 -0.5220 5 10 6500 0.9880 0.0407 0.0
-0.5220 -0.2610 5 10 6500 0.9909 0.0431 0.0
-0.2610 -0.0000 5 10 6500 0.9908 0.0310 0.0
0.0000 0.2610 5 10 6500 0.9908 0.0310 0.0
0.2610 0.5220 5 10 6500 0.9909 0.0431 0.0
0.5220 0.7830 5 10 6500 0.9880 0.0407 0.0
0.7830 1.0440 5 10 6500 0.9881 0.0361 0.0
1.0440 1.3050 5 10 6500 0.9800 0.0207 0.0
1.3050 1.4790 5 10 6500 0.9756 0.0747 0.0
1.4790 1.6530 5 10 6500 0.9624 0.1147 0.0
1.6530 1.9300 5 10 6500 0.9662 0.0831 0.0
1.9300 2.1720 5 10 6500 0.9724 0.0708 0.0
2.1720 2.3220 5 10 6500 0.9363 0.0160 0.0
2.3220 2.5000 5 10 6500 0.9119 0.0669 0.0
2.5000 2.6500 5 10 6500 0.8830 0.1526 0.0
2.6500 2.8530 5 10 6500 0.8604 0.1784 0.0
2.8530 2.9640 5 10 6500 0.8849 0.0790 0.0
2.9640 3.1390 5 10 6500 0.9523 0.1140 0.0
3.1390 3.4890 5 10 6500 0.9630 0.1536 0.0
3.4890 3.8390 5 10 6500 0.9666 0.2898 0.0
3.8390 5.1910 5 10 6500 0.8984 0.2576 0.0
