{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9162 0.5615 0.0
-3.8390 -3.4890 5 10 6500 0.9604 0.1388 0.0
-3.4890 -3.1390 5 10 6500 0.9709 0.1382 0.0
-3.1390 -2.9640 5 10 6500 0.9690 0.4144 0.0
-2.9640 -2.8530 5 10 6500 0.9079 -0.1088 0.0
-2.8530 -2.6500 5 10 6500 0.9007 0.1666 0.0
-2.6500 -2.5000 5 10 6500 0.9110 0.2412 0.0
-2.5000 -2.3220 5 10 6500 0.9196 -0.0500 0.0
-2.3220 -2.1720 5 10 6500 0.9354 0.1250 0.0
-2.1720 -1.9300 5 10 6500 0.9595 0.0787 0.0
-1.9300 -1.6530 5 10 6500 0.9556 0.1245 0.0
-1.6530 -1.4790 5 10 6500 0.9567 0.1145 0.0
-1.4790 -1.3050 5 10 6500 0.9723 0.0929 0.0
-1.3050 -1.0440 5 10 6500 0.9741 0.0325 0.0
-1.0440 -0.7830 5 10 6500 0.9843 0.0334 0.0
-0.7830 -0.5220 5 10 6500 0.9815 0.0226 0.0
-0.5220 -0.2610 5 10 6500 0.9820 0.0209 0.0
-0.2610 -0.0000 5 10 6500 0.9851 0.0190 0.0
0.0000 0.2610 5 10 6500 0.9851 0.0190 0.0
0.2610 0.5220 5 10 6500 0.9820 0.0209 0.0
0.5220 0.7830 5 10 6500 0.9815 0.0226 0.0
0.7830 1.0440 5 10 6500 0.9843 0.0334 0.0
1.0440 1.3050 5 10 6500 0.9741 0.0325 0.0
1.3050 1.4790 5 10 6500 0.9723 0.0929 0.0
1.4790 1.6530 5 10 6500 0.9567 0.1145 0.0
1.6530 1.9300 5 10 6500 0.9556 0.1245 0.0
1.9300 2.1720 5 10 6500 0.9595 0.0787 0.0
2.1720 2.3220 5 10 6500 0.9354 0.1250 0.0
2.3220 2.5000 5 10 6500 0.9196 -0.0500 0.0
2.5000 2.6500 5 10 6500 0.9110 0.2412 0.0
2.6500 2.8530 5 10 6500 0.9007 0.1666 0.0
2.8530 2.9640 5 10 6500 0.9079 -0.1088 0.0
2.9640 3.1390 5 10 6500 0.9690 0.4144 0.0
3.1390 3.4890 5 10 6500 0.9709 0.1382 0.0
3.4890 3.8390 5 10 6500 0.9604 0.1388 0.0
3.8390 5.1910 5 10 6500 0.9162 0.5615 0.0
