{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8800 0.1852 0.0
-3.8390 -3.4890 5 10 6500 0.9611 0.3500 0.0
-3.4890 -3.1390 5 10 6500 0.9967 0.4951 0.0
-3.1390 -2.9640 5 10 6500 0.9874 0.2323 0.0
-2.9640 -2.8530 5 10 6500 1.0864 -0.0218 0.0
-2.8530 -2.6500 5 10 6500 1.0772 0.0529 0.0
-2.6500 -2.5000 5 10 6500 1.0140 0.1654 0.0
-2.5000 -2.3220 5 10 6500 0.9490 0.0074 0.0
-2.3220 -2.1720 5 10 6500 0.9443 0.0014 0.0
-2.1720 -1.9300 5 10 6500 0.9535 0.0661 0.0
-1.9300 -1.6530 5 10 6500 0.9502 0.0957 0.0
-1.6530 -1.4790 5 10 6500 0.9497 0.0497 0.0
-1.4790 -1.3050 5 10 6500 0.9611 0.0575 0.0
-1.3050 -1.0440 5 10 6500 0.9630 -0.0021 0.0
-1.0440 -0.7830 5 10 6500 0.9743 0.0253 0.0
-0.7830 -0.5220 5 10 6500 0.9748 0.0345 0.0
-0.5220 -0.2610 5 10 6500 0.9732 0.0285 0.0
-0.2610 -0.0000 5 10 6500 0.9747 0.0487 0.0
0.0000 0.2610 5 10 6500 0.9747 0.0487 0.0
0.2610 0.5220 5 10 6500 0.9732 0.0285 0.0
0.5220 0.7830 5 10 6500 0.9748 0.0345 0.0
0.7830 1.0440 5 10 6500 0.9743 0.0253 0.0
1.0440 1.3050 5 10 6500 0.9630 -0.0021 0.0
1.3050 1.4790 5 10 6500 0.9611 0.0575 0.0
1.4790 1.6530 5 10 6500 0.9497 0.0497 0.0
1.6530 1.9300 5 10 6500 0.9502 0.0957 0.0
1.9300 2.1720 5 10 6500 0.9535 0.0661 0.0
2.1720 2.3220 5 10 6500 0.9443 0.0014 0.0
2.3220 2.5000 5 10 6500 0.9490 0.0074 0.0
2.5000 2.6500 5 10 6500 1.0140 0.1654 0.0
2.6500 2.8530 5 10 6500 1.0772 0.0529 0.0
2.8530 2.9640 5 10 6500 1.0864 -0.0218 0.0
2.9640 3.1390 5 10 6500 0.9874 0.2323 0.0
3.1390 3.4890 5 10 6500 0.9967 0.4951 0.0
3.4890 3.8390 5 10 6500 0.9611 0.3500 0.0
3.8390 5.1910 5 10 6500 0.8800 0.1852 0.0
