{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8693 0.1099 0.0
-3.8390 -3.4890 5 10 6500 0.9587 0.3109 0.0
-3.4890 -3.1390 5 10 6500 0.9908 0.4012 0.0
-3.1390 -2.9640 5 10 6500 0.9595 0.1154 0.0
-2.9640 -2.8530 5 10 6500 1.0106 0.0365 0.0
-2.8530 -2.6500 5 10 6500 0.9802 0.0380 0.0
-2.6500 -2.5000 5 10 6500 0.9584 0.1606 0.0
-2.5000 -2.3220 5 10 6500 0.9335 -0.0113 0.0
-2.3220 -2.1720 5 10 6500 0.9445 -0.0189 0.0
-2.1720 -1.9300 5 10 6500 0.9650 0.0613 0.0
-1.9300 -1.6530 5 10 6500 0.9572 0.0570 0.0
-1.6530 -1.4790 5 10 6500 0.9571 0.0703 0.0
-1.4790 -1.3050 5 10 6500 0.9690 0.0691 0.0
-1.3050 -1.0440 5 10 6500 0.9719 0.0220 0.0
-1.0440 -0.7830 5 10 6500 0.9816 0.0218 0.0
-0.7830 -0.5220 5 10 6500 0.9835 0.0783 0.0
-0.5220 -0.2610 5 10 6500 0.9817 0.0411 0.0
-0.2610 -0.0000 5 10 6500 0.9844 0.0805 0.0
0.0000 0.2610 5 10 6500 0.9844 0.0805 0.0
0.2610 0.5220 5 10 6500 0.9817 0.0411 0.0
0.5220 0.7830 5 10 6500 0.9835 0.0783 0.0
0.7830 1.0440 5 10 6500 0.9816 0.0218 0.0
1.0440 1.3050 5 10 6500 0.9719 0.0220 0.0
1.3050 1.4790 5 10 6500 0.9690 0.0691 0.0
1.4790 1.6530 5 10 6500 0.9571 0.0703 0.0
1.6530 1.9300 5 10 6500 0.9572 0.0570 0.0
1.9300 2.1720 5 10 6500 0.9650 0.0613 0.0
2.1720 2.3220 5 10 6500 0.9445 -0.0189 0.0
2.3220 2.5000 5 10 6500 0.9335 -0.0113 0.0
2.5000 2.6500 5 10 6500 0.9584 0.1606 0.0
2.6500 2.8530 5 10 6500 0.9802 0.0380 0.0
2.8530 2.9640 5 10 6500 1.0106 0.0365 0.0
2.9640 3.1390 5 10 6500 0.9595 0.1154 0.0
3.1390 3.4890 5 10 6500 0.9908 0.4012 0.0
3.4890 3.8390 5 10 6500 0.9587 0.3109 0.0
3.8390 5.1910 5 10 6500 0.8693 0.1099 0.0
