{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8713 0.1223 0.0
-3.8390 -3.4890 5 10 6500 0.9579 0.2508 0.0
-3.4890 -3.1390 5 10 6500 0.9761 0.2390 0.0
-3.1390 -2.9640 5 10 6500 0.9523 0.1878 0.0
-2.9640 -2.8530 5 10 6500 0.8733 -0.2422 0.0
-2.8530 -2.6500 5 10 6500 0.8622 0.0264 0.0
-2.6500 -2.5000 5 10 6500 0.8826 0.0551 0.0
-2.5000 -2.3220 5 10 6500 0.9113 -0.0092 0.0
-2.3220 -2.1720 5 10 6500 0.9363 -0.0206 0.0
-2.1720 -1.9300 5 10 6500 0.9696 0.0466 0.0
-1.9300 -1.6530 5 10 6500 0.9608 0.0476 0.0
-1.6530 -1.4790 5 10 6500 0.9616 0.0946 0.0
-1.4790 -1.3050 5 10 6500 0.9742 0.0838 0.0
-1.3050 -1.0440 5 10 6500 0.9791 0.0320 0.0
-1.0440 -0.7830 5 10 6500 0.9875 0.0199 0.0
-0.7830 -0.5220 5 10 6500 0.9877 0.0583 0.0
-0.5220 -0.2610 5 10 6500 0.9886 0.0396 0.0
-0.2610 -0.0000 5 10 6500 0.9904 0.0565 0.0
0.0000 0.2610 5 10 6500 0.9904 0.0565 0.0
0.2610 0.5220 5 10 6500 0.9886 0.0396 0.0
0.5220 0.7830 5 10 6500 0.9877 0.0583 0.0
0.7830 1.0440 5 10 6500 0.9875 0.0199 0.0
1.0440 1.3050 5 10 6500 0.9791 0.0320 0.0
1.3050 1.4790 5 10 6500 0.9742 0.0838 0.0
1.4790 1.6530 5 10 6500 0.9616 0.0946 0.0
1.6530 1.9300 5 10 6500 0.9608 0.0476 0.0
1.9300 2.1720 5 10 6500 0.9696 0.0466 0.0
2.1720 2.3220 5 10 6500 0.9363 -0.0206 0.0
2.3220 2.5000 5 10 6500 0.9113 -0.0092 0.0
2.5000 2.6500 5 10 6500 0.8826 0.0551 0.0
2.6500 2.8530 5 10 6500 0.8622 0.0264 0.0
2.8530 2.9640 5 10 6500 0.8733 -0.2422 0.0
2.9640 3.1390 5 10 6500 0.9523 0.1878 0.0
3.1390 3.4890 5 10 6500 0.9761 0.2390 0.0
3.4890 3.8390 5 10 6500 0.9579 0.2508 0.0
3.8390 5.1910 5 10 6500 0.8713 0.1223 0.0
