{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8755 0.1337 0.0
-3.8390 -3.4890 5 10 6500 0.9574 0.2718 0.0
-3.4890 -3.1390 5 10 6500 0.9700 0.2290 0.0
-3.1390 -2.9640 5 10 6500 0.9421 0.0684 0.0
-2.9640 -2.8530 5 10 6500 0.8473 -0.2222 0.0
-2.8530 -2.6500 5 10 6500 0.8288 -0.0844 0.0
-2.6500 -2.5000 5 10 6500 0.8593 -0.0617 0.0
-2.5000 -2.3220 5 10 6500 0.9023 -0.0344 0.0
-2.3220 -2.1720 5 10 6500 0.9380 -0.0245 0.0
-2.1720 -1.9300 5 10 6500 0.9749 0.0060 0.0
-1.9300 -1.6530 5 10 6500 0.9654 0.0068 0.0
-1.6530 -1.4790 5 10 6500 0.9643 0.0932 0.0
-1.4790 -1.3050 5 10 6500 0.9777 0.0798 0.0
-1.3050 -1.0440 5 10 6500 0.9825 0.0309 0.0
-1.0440 -0.7830 5 10 6500 0.9891 0.0231 0.0
-0.7830 -0.5220 5 10 6500 0.9908 0.0625 0.0
-0.5220 -0.2610 5 10 6500 0.9939 0.0562 0.0
-0.2610 -0.0000 5 10 6500 0.9940 0.0594 0.0
0.0000 0.2610 5 10 6500 0.9940 0.0594 0.0
0.2610 0.5220 5 10 6500 0.9939 0.0562 0.0
0.5220 0.7830 5 10 6500 0.9908 0.0625 0.0
0.7830 1.0440 5 10 6500 0.9891 0.0231 0.0
1.0440 1.3050 5 10 6500 0.9825 0.0309 0.0
1.3050 1.4790 5 10 6500 0.9777 0.0798 0.0
1.4790 1.6530 5 10 6500 0.9643 0.0932 0.0
1.6530 1.9300 5 10 6500 0.9654 0.0068 0.0
1.9300 2.1720 5 10 6500 0.9749 0.0060 0.0
2.1720 2.3220 5 10 6500 0.9380 -0.0245 0.0
2.3220 2.5000 5 10 6500 0.9023 -0.0344 0.0
2.5000 2.6500 5 10 6500 0.8593 -0.0617 0.0
2.6500 2.8530 5 10 6500 0.8288 -0.0844 0.0
2.8530 2.9640 5 10 6500 0.8473 -0.2222 0.0
2.9640 3.1390 5 10 6500 0.9421 0.0684 0.0
3.1390 3.4890 5 10 6500 0.9700 0.2290 0.0
3.4890 3.8390 5 10 6500 0.9574 0.2718 0.0
3.8390 5.1910 5 10 6500 0.8755 0.1337 0.0
