{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8853 0.3522 0.0
-3.8390 -3.4890 5 10 6500 0.9484 0.1317 0.0
-3.4890 -3.1390 5 10 6500 0.9812 0.2249 0.0
-3.1390 -2.9640 5 10 6500 0.9804 0.5468 0.0
-2.9640 -2.8530 5 10 6500 0.8578 -0.5597 0.0
-2.8530 -2.6500 5 10 6500 0.8871 0.0785 0.0
-2.6500 -2.5000 5 10 6500 0.9103 0.2334 0.0
-2.5000 -2.3220 5 10 6500 0.9187 -0.0595 0.0
-2.3220 -2.1720 5 10 6500 0.9371 0.0719 0.0
-2.1720 -1.9300 5 10 6500 0.9648 0.0554 0.0
-1.9300 -1.6530 5 10 6500 0.9594 0.1304 0.0
-1.6530 -1.4790 5 10 6500 0.9617 0.1306 0.0
-1.4790 -1.3050 5 10 6500 0.9735 0.0654 0.0
-1.3050 -1.0440 5 10 6500 0.9757 0.0236 0.0
-1.0440 -0.7830 5 10 6500 0.9866 0.0291 0.0
-0.7830 -0.5220 5 10 6500 0.9850 0.0665 0.0
-0.5220 -0.2610 5 10 6500 0.9841 0.0318 0.0
-0.2610 -0.0000 5 10 6500 0.9868 0.0173 0.0
0.0000 0.2610 5 10 6500 0.9868 0.0173 0.0
0.2610 0.5220 5 10 6500 0.9841 0.0318 0.0
0.5220 0.7830 5 10 6500 0.9850 0.0665 0.0
0.7830 1.0440 5 10 6500 0.9866 0.0291 0.0
1.0440 1.3050 5 10 6500 0.9757 0.0236 0.0
1.3050 1.4790 5 10 6500 0.9735 0.0654 0.0
1.4790 1.6530 5 10 6500 0.9617 0.1306 0.0
1.6530 1.9300 5 10 6500 0.9594 0.1304 0.0
1.9300 2.1720 5 10 6500 0.9648 0.0554 0.0
2.1720 2.3220 5 10 6500 0.9371 0.0719 0.0
2.3220 2.5000 5 10 6500 0.9187 -0.0595 0.0
2.5000 2.6500 5 10 6500 0.9103 0.2334 0.0
2.6500 2.8530 5 10 6500 0.8871 0.0785 0.0
2.8530 2.9640 5 10 6500 0.8578 -0.5597 0.0
2.9640 3.1390 5 10 6500 0.9804 0.5468 0.0
3.1390 3.4890 5 10 6500 0.9812 0.2249 0.0
3.4890 3.8390 5 10 6500 0.9484 0.1317 0.0
3.8390 5.1910 5 10 6500 0.8853 0.3522 0.0
