{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8606 0.0651 0.0
-3.8390 -3.4890 5 10 6500 0.9525 0.3299 0.0
-3.4890 -3.1390 5 10 6500 0.9974 0.5163 0.0
-3.1390 -2.9640 5 10 6500 0.9613 0.0121 0.0
-2.9640 -2.8530 5 10 6500 1.1365 0.3479 0.0
-2.8530 -2.6500 5 10 6500 1.0802 0.0748 0.0
-2.6500 -2.5000 5 10 6500 1.0209 0.2142 0.0
-2.5000 -2.3220 5 10 6500 0.9507 -0.0268 0.0
-2.3220 -2.1720 5 10 6500 0.9475 -0.0423 0.0
-2.1720 -1.9300 5 10 6500 0.9585 0.0604 0.0
-1.9300 -1.6530 5 10 6500 0.9521 0.0615 0.0
-1.6530 -1.4790 5 10 6500 0.9521 0.0525 0.0
-1.4790 -1.3050 5 10 6500 0.9627 0.0504 0.0
-1.3050 -1.0440 5 10 6500 0.9636 -0.0048 0.0
-1.0440 -0.7830 5 10 6500 0.9756 0.0314 0.0
-0.7830 -0.5220 5 10 6500 0.9785 0.0882 0.0
-0.5220 -0.2610 5 10 6500 0.9745 0.0441 0.0
-0.2610 -0.0000 5 10 6500 0.9781 0.0941 0.0
0.0000 0.2610 5 10 6500 0.9781 0.0941 0.0
0.2610 0.5220 5 10 6500 0.9745 0.0441 0.0
0.5220 0.7830 5 10 6500 0.9785 0.0882 0.0
0.7830 1.0440 5 10 6500 0.9756 0.0314 0.0
1.0440 1.3050 5 10 6500 0.9636 -0.0048 0.0
1.3050 1.4790 5 10 6500 0.9627 0.0504 0.0
1.4790 1.6530 5 10 6500 0.9521 0.0525 0.0
1.6530 1.9300 5 10 6500 0.9521 0.0615 0.0
1.9300 2.1720 5 10 6500 0.9585 0.0604 0.0
2.1720 2.3220 5 10 6500 0.9475 -0.0423 0.0
2.3220 2.5000 5 10 6500 0.9507 -0.0268 0.0
2.5000 2.6500 5 10 6500 1.0209 0.2142 0.0
2.6500 2.8530 5 10 6500 1.0802 0.0748 0.0
2.8530 2.9640 5 10 6500 1.1365 0.3479 0.0
2.9640 3.1390 5 10 6500 0.9613 0.0121 0.0
3.1390 3.4890 5 10 6500 0.9974 0.5163 0.0
3.4890 3.8390 5 10 6500 0.9525 0.3299 0.0
3.8390 5.1910 5 10 6500 0.8606 0.0651 0.0
