{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9332 0.4869 0.0
-3.8390 -3.4890 5 10 6500 1.0048 0.3104 0.0
-3.4890 -3.1390 5 10 6500 1.0411 0.2330 0.0
-3.1390 -2.9640 5 10 6500 1.0327 0.4671 0.0
-2.9640 -2.8530 5 10 6500 1.0749 2.0324 0.0
-2.8530 -2.6500 5 10 6500 1.0536 1.6733 0.0
-2.6500 -2.5000 5 10 6500 0.9659 0.7826 0.0
-2.5000 -2.3220 5 10 6500 0.9397 0.2065 0.0
-2.3220 -2.1720 5 10 6500 0.9536 0.0494 0.0
-2.1720 -1.9300 5 10 6500 0.9711 0.0977 0.0
-1.9300 -1.6530 5 10 6500 0.9709 0.0713 0.0
-1.6530 -1.4790 5 10 6500 0.9696 0.0603 0.0
-1.4790 -1.3050 5 10 6500 0.9792 0.0494 0.0
-1.3050 -1.0440 5 10 6500 0.9774 -0.0127 0.0
-1.0440 -0.7830 5 10 6500 0.9862 0.0209 0.0
-0.7830 -0.5220 5 10 6500 0.9847 0.0298 0.0
-0.5220 -0.2610 5 10 6500 0.9815 0.0587 0.0
-0.2610 -0.0000 5 10 6500 0.9804 0.0462 0.0
0.0000 0.2610 5 10 6500 0.9804 0.0462 0.0
0.2610 0.5220 5 10 6500 0.9815 0.0587 0.0
0.5220 0.7830 5 10 6500 0.9847 0.0298 0.0
0.7830 1.0440 5 10 6500 0.9862 0.0209 0.0
1.0440 1.3050 5 10 6500 0.9774 -0.0127 0.0
1.3050 1.4790 5 10 6500 0.9792 0.0494 0.0
1.4790 1.6530 5 10 6500 0.9696 0.0603 0.0
1.6530 1.9300 5 10 6500 0.9709 0.0713 0.0
1.9300 2.1720 5 10 6500 0.9711 0.0977 0.0
2.1720 2.3220 5 10 6500 0.9536 0.0494 0.0
2.3220 2.5000 5 10 6500 0.9397 0.2065 0.0
2.5000 2.6500 5 10 6500 0.9659 0.7826 0.0
2.6500 2.8530 5 10 6500 1.0536 1.6733 0.0
2.8530 2.9640 5 10 6500 1.0749 2.0324 0.0
2.9640 3.1390 5 10 6500 1.0327 0.4671 0.0
3.1390 3.4890 5 10 6500 1.0411 0.2330 0.0
3.4890 3.8390 5 10 6500 1.0048 0.3104 0.0
3.8390 5.1910 5 10 6500 0.9332 0.4869 0.0
