{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9036 0.0505 0.0
-3.8390 -3.4890 5 10 6500 0.9677 -0.1403 0.0
-3.4890 -3.1390 5 10 6500 1.0218 0.0223 0.0
-3.1390 -2.9640 5 10 6500 0.9850 0.1773 0.0
-2.9640 -2.8530 5 10 6500 0.9080 0.3882 0.0
-2.8530 -2.6500 5 10 6500 0.8989 0.3001 0.0
-2.6500 -2.5000 5 10 6500 0.9103 0.2958 0.0
-2.5000 -2.3220 5 10 6500 0.9299 0.1497 0.0
-2.3220 -2.1720 5 10 6500 0.9498 0.0930 0.0
-2.1720 -1.9300 5 10 6500 0.9722 0.0776 0.0
-1.9300 -1.6530 5 10 6500 0.9702 0.0873 0.0
-1.6530 -1.4790 5 10 6500 0.9690 0.0398 0.0
-1.4790 -1.3050 5 10 6500 0.9805 0.0761 0.0
-1.3050 -1.0440 5 10 6500 0.9791 -0.0031 0.0
-1.0440 -0.7830 5 10 6500 0.9872 0.0259 0.0
-0.7830 -0.5220 5 10 6500 0.9856 0.0498 0.0
-0.5220 -0.2610 5 10 6500 0.9837 0.0309 0.0
-0.2610 -0.0000 5 10 6500 0.9852 0.0413 0.0
0.0000 0.2610 5 10 6500 0.9852 0.0413 0.0
0.2610 0.5220 5 10 6500 0.9837 0.0309 0.0
0.5220 0.7830 5 10 6500 0.9856 0.0498 0.0
0.7830 1.0440 5 10 6500 0.9872 0.0259 0.0
1.0440 1.3050 5 10 6500 0.9791 -0.0031 0.0
1.3050 1.4790 5 10 6500 0.9805 0.0761 0.0
1.4790 1.6530 5 10 6500 0.9690 0.0398 0.0
1.6530 1.9300 5 10 6500 0.9702 0.0873 0.0
1.9300 2.1720 5 10 6500 0.9722 0.0776 0.0
2.1720 2.3220 5 10 6500 0.9498 0.0930 0.0
2.3220 2.5000 5 10 6500 0.9299 0.1497 0.0
2.5000 2.6500 5 10 6500 0.9103 0.2958 0.0
2.6500 2.8530 5 10 6500 0.8989 0.3001 0.0
2.8530 2.9640 5 10 6500 0.9080 0.3882 0.0
2.9640 3.1390 5 10 6500 0.9850 0.1773 0.0
3.1390 3.4890 5 10 6500 1.0218 0.0223 0.0
3.4890 3.8390 5 10 6500 0.9677 -0.1403 0.0
3.8390 5.1910 5 10 6500 0.9036 0.0505 0.0
