{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9274 0.3316 0.0
-3.8390 -3.4890 5 10 6500 1.0064 0.2308 0.0
-3.4890 -3.1390 5 10 6500 1.0565 0.2786 0.0
-3.1390 -2.9640 5 10 6500 1.0230 0.5287 0.0
-2.9640 -2.8530 5 10 6500 0.9046 0.6818 0.0
-2.8530 -2.6500 5 10 6500 0.8882 0.5610 0.0
-2.6500 -2.5000 5 10 6500 0.8919 0.3789 0.0
-2.5000 -2.3220 5 10 6500 0.9238 0.1975 0.0
-2.3220 -2.1720 5 10 6500 0.9493 0.0844 0.0
-2.1720 -1.9300 5 10 6500 0.9752 0.1232 0.0
-1.9300 -1.6530 5 10 6500 0.9739 0.0922 0.0
-1.6530 -1.4790 5 10 6500 0.9729 0.0672 0.0
-1.4790 -1.3050 5 10 6500 0.9852 0.0762 0.0
-1.3050 -1.0440 5 10 6500 0.9850 0.0273 0.0
-1.0440 -0.7830 5 10 6500 0.9933 0.0485 0.0
-0.7830 -0.5220 5 10 6500 0.9918 0.0571 0.0
-0.5220 -0.2610 5 10 6500 0.9879 0.0524 0.0
-0.2610 -0.0000 5 10 6500 0.9892 0.0628 0.0
0.0000 0.2610 5 10 6500 0.9892 0.0628 0.0
0.2610 0.5220 5 10 6500 0.9879 0.0524 0.0
0.5220 0.7830 5 10 6500 0.9918 0.0571 0.0
0.7830 1.0440 5 10 6500 0.9933 0.0485 0.0
1.0440 1.3050 5 10 6500 0.9850 0.0273 0.0
1.3050 1.4790 5 10 6500 0.9852 0.0762 0.0
1.4790 1.6530 5 10 6500 0.9729 0.0672 0.0
1.6530 1.9300 5 10 6500 0.9739 0.0922 0.0
1.9300 2.1720 5 10 6500 0.9752 0.1232 0.0
2.1720 2.3220 5 10 6500 0.9493 0.0844 0.0
2.3220 2.5000 5 10 6500 0.9238 0.1975 0.0
2.5000 2.6500 5 10 6500 0.8919 0.3789 0.0
2.6500 2.8530 5 10 6500 0.8882 0.5610 0.0
2.8530 2.9640 5 10 6500 0.9046 0.6818 0.0
2.9640 3.1390 5 10 6500 1.0230 0.5287 0.0
3.1390 3.4890 5 10 6500 1.0565 0.2786 0.0
3.4890 3.8390 5 10 6500 1.0064 0.2308 0.0
3.8390 5.1910 5 10 6500 0.9274 0.3316 0.0
