{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9435 0.5592 0.0
-3.8390 -3.4890 5 10 6500 1.0084 0.2488 0.0
-3.4890 -3.1390 5 10 6500 1.0591 0.2037 0.0
-3.1390 -2.9640 5 10 6500 1.0249 0.4113 0.0
-2.9640 -2.8530 5 10 6500 0.9425 0.8412 0.0
-2.8530 -2.6500 5 10 6500 0.9139 0.5713 0.0
-2.6500 -2.5000 5 10 6500 0.9108 0.3174 0.0
-2.5000 -2.3220 5 10 6500 0.9297 0.1569 0.0
-2.3220 -2.1720 5 10 6500 0.9514 0.1004 0.0
-2.1720 -1.9300 5 10 6500 0.9759 0.1262 0.0
-1.9300 -1.6530 5 10 6500 0.9733 0.0813 0.0
-1.6530 -1.4790 5 10 6500 0.9720 0.0681 0.0
-1.4790 -1.3050 5 10 6500 0.9818 0.0809 0.0
-1.3050 -1.0440 5 10 6500 0.9805 0.0170 0.0
-1.0440 -0.7830 5 10 6500 0.9889 0.0374 0.0
-0.7830 -0.5220 5 10 6500 0.9880 0.0463 0.0
-0.5220 -0.2610 5 10 6500 0.9827 0.0504 0.0
-0.2610 -0.0000 5 10 6500 0.9839 0.0657 0.0
0.0000 0.2610 5 10 6500 0.9839 0.0657 0.0
0.2610 0.5220 5 10 6500 0.9827 0.0504 0.0
0.5220 0.7830 5 10 6500 0.9880 0.0463 0.0
0.7830 1.0440 5 10 6500 0.9889 0.0374 0.0
1.0440 1.3050 5 10 6500 0.9805 0.0170 0.0
1.3050 1.4790 5 10 6500 0.9818 0.0809 0.0
1.4790 1.6530 5 10 6500 0.9720 0.0681 0.0
1.6530 1.9300 5 10 6500 0.9733 0.0813 0.0
1.9300 2.1720 5 10 6500 0.9759 0.1262 0.0
2.1720 2.3220 5 10 6500 0.9514 0.1004 0.0
2.3220 2.5000 5 10 6500 0.9297 0.1569 0.0
2.5000 2.6500 5 10 6500 0.9108 0.3174 0.0
2.6500 2.8530 5 10 6500 0.9139 0.5713 0.0
2.8530 2.9640 5 10 6500 0.9425 0.8412 0.0
2.9640 3.1390 5 10 6500 1.0249 0.4113 0.0
3.1390 3.4890 5 10 6500 1.0591 0.2037 0.0
3.4890 3.8390 5 10 6500 1.0084 0.2488 0.0
3.8390 5.1910 5 10 6500 0.9435 0.5592 0.0
