{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9343 0.4806 0.0
-3.8390 -3.4890 5 10 6500 1.0073 0.2894 0.0
-3.4890 -3.1390 5 10 6500 1.0430 0.2100 0.0
-3.1390 -2.9640 5 10 6500 1.0423 0.4060 0.0
-2.9640 -2.8530 5 10 6500 1.1527 1.2753 0.0
-2.8530 -2.6500 5 10 6500 1.1382 1.4394 0.0
-2.6500 -2.5000 5 10 6500 1.0175 0.7184 0.0
-2.5000 -2.3220 5 10 6500 0.9597 0.1754 0.0
-2.3220 -2.1720 5 10 6500 0.9595 0.0321 0.0
-2.1720 -1.9300 5 10 6500 0.9711 0.0911 0.0
-1.9300 -1.6530 5 10 6500 0.9715 0.0604 0.0
-1.6530 -1.4790 5 10 6500 0.9710 0.0434 0.0
-1.4790 -1.3050 5 10 6500 0.9774 0.0279 0.0
-1.3050 -1.0440 5 10 6500 0.9721 -0.0270 0.0
-1.0440 -0.7830 5 10 6500 0.9822 0.0095 0.0
-0.7830 -0.5220 5 10 6500 0.9806 0.0108 0.0
-0.5220 -0.2610 5 10 6500 0.9784 -0.0180 0.0
-0.2610 -0.0000 5 10 6500 0.9762 0.0341 0.0
0.0000 0.2610 5 10 6500 0.9762 0.0341 0.0
0.2610 0.5220 5 10 6500 0.9784 -0.0180 0.0
0.5220 0.7830 5 10 6500 0.9806 0.0108 0.0
0.7830 1.0440 5 10 6500 0.9822 0.0095 0.0
1.0440 1.3050 5 10 6500 0.9721 -0.0270 0.0
1.3050 1.4790 5 10 6500 0.9774 0.0279 0.0
1.4790 1.6530 5 10 6500 0.9710 0.0434 0.0
1.6530 1.9300 5 10 6500 0.9715 0.0604 0.0
1.9300 2.1720 5 10 6500 0.9711 0.0911 0.0
2.1720 2.3220 5 10 6500 0.9595 0.0321 0.0
2.3220 2.5000 5 10 6500 0.9597 0.1754 0.0
2.5000 2.6500 5 10 6500 1.0175 0.7184 0.0
2.6500 2.8530 5 10 6500 1.1382 1.4394 0.0
2.8530 2.9640 5 10 6500 1.1527 1.2753 0.0
2.9640 3.1390 5 10 6500 1.0423 0.4060 0.0
3.1390 3.4890 5 10 6500 1.0430 0.2100 0.0
3.4890 3.8390 5 10 6500 1.0073 0.2894 0.0
3.8390 5.1910 5 10 6500 0.9343 0.4806 0.0
