{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9015 0.0568 0.0
-3.8390 -3.4890 5 10 6500 0.9700 -0.1212 0.0
-3.4890 -3.1390 5 10 6500 1.0209 0.0145 0.0
-3.1390 -2.9640 5 10 6500 0.9896 0.1318 0.0
-2.9640 -2.8530 5 10 6500 0.9325 0.5610 0.0
-2.8530 -2.6500 5 10 6500 0.9366 0.3007 0.0
-2.6500 -2.5000 5 10 6500 0.9239 0.3754 0.0
-2.5000 -2.3220 5 10 6500 0.9303 0.1717 0.0
-2.3220 -2.1720 5 10 6500 0.9491 0.0609 0.0
-2.1720 -1.9300 5 10 6500 0.9680 0.0731 0.0
-1.9300 -1.6530 5 10 6500 0.9669 0.0688 0.0
-1.6530 -1.4790 5 10 6500 0.9657 0.0328 0.0
-1.4790 -1.3050 5 10 6500 0.9759 0.0620 0.0
-1.3050 -1.0440 5 10 6500 0.9749 -0.0222 0.0
-1.0440 -0.7830 5 10 6500 0.9839 0.0101 0.0
-0.7830 -0.5220 5 10 6500 0.9815 0.0359 0.0
-0.5220 -0.2610 5 10 6500 0.9795 0.0701 0.0
-0.2610 -0.0000 5 10 6500 0.9806 0.0294 0.0
0.0000 0.2610 5 10 6500 0.9806 0.0294 0.0
0.2610 0.5220 5 10 6500 0.9795 0.0701 0.0
0.5220 0.7830 5 10 6500 0.9815 0.0359 0.0
0.7830 1.0440 5 10 6500 0.9839 0.0101 0.0
1.0440 1.3050 5 10 6500 0.9749 -0.0222 0.0
1.3050 1.4790 5 10 6500 0.9759 0.0620 0.0
1.4790 1.6530 5 10 6500 0.9657 0.0328 0.0
1.6530 1.9300 5 10 6500 0.9669 0.0688 0.0
1.9300 2.1720 5 10 6500 0.9680 0.0731 0.0
2.1720 2.3220 5 10 6500 0.9491 0.0609 0.0
2.3220 2.5000 5 10 6500 0.9303 0.1717 0.0
2.5000 2.6500 5 10 6500 0.9239 0.3754 0.0
2.6500 2.8530 5 10 6500 0.9366 0.3007 0.0
2.8530 2.9640 5 10 6500 0.9325 0.5610 0.0
2.9640 3.1390 5 10 6500 0.9896 0.1318 0.0
3.1390 3.4890 5 10 6500 1.0209 0.0145 0.0
3.4890 3.8390 5 10 6500 0.9700 -0.1212 0.0
3.8390 5.1910 5 10 6500 0.9015 0.0568 0.0
