{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9224 0.3783 0.0
-3.8390 -3.4890 5 10 6500 0.9748 -0.0414 0.0
-3.4890 -3.1390 5 10 6500 1.0228 0.0495 0.0
-3.1390 -2.9640 5 10 6500 0.9772 0.0798 0.0
-2.9640 -2.8530 5 10 6500 0.8969 0.2368 0.0
-2.8530 -2.6500 5 10 6500 0.8901 0.3444 0.0
-2.6500 -2.5000 5 10 6500 0.9030 0.3121 0.0
-2.5000 -2.3220 5 10 6500 0.9267 0.1440 0.0
-2.3220 -2.1720 5 10 6500 0.9470 0.1046 0.0
-2.1720 -1.9300 5 10 6500 0.9715 0.1018 0.0
-1.9300 -1.6530 5 10 6500 0.9702 0.1018 0.0
-1.6530 -1.4790 5 10 6500 0.9699 0.0551 0.0
-1.4790 -1.3050 5 10 6500 0.9827 0.0740 0.0
-1.3050 -1.0440 5 10 6500 0.9814 0.0214 0.0
-1.0440 -0.7830 5 10 6500 0.9894 0.0375 0.0
-0.7830 -0.5220 5 10 6500 0.9887 0.0415 0.0
-0.5220 -0.2610 5 10 6500 0.9861 0.0389 0.0
-0.2610 -0.0000 5 10 6500 0.9878 0.0452 0.0
0.0000 0.2610 5 10 6500 0.9878 0.0452 0.0
0.2610 0.5220 5 10 6500 0.9861 0.0389 0.0
0.5220 0.7830 5 10 6500 0.9887 0.0415 0.0
0.7830 1.0440 5 10 6500 0.9894 0.0375 0.0
1.0440 1.3050 5 10 6500 0.9814 0.0214 0.0
1.3050 1.4790 5 10 6500 0.9827 0.0740 0.0
1.4790 1.6530 5 10 6500 0.9699 0.0551 0.0
1.6530 1.9300 5 10 6500 0.9702 0.1018 0.0
1.9300 2.1720 5 10 6500 0.9715 0.1018 0.0
2.1720 2.3220 5 10 6500 0.9470 0.1046 0.0
2.3220 2.5000 5 10 6500 0.9267 0.1440 0.0
2.5000 2.6500 5 10 6500 0.9030 0.3121 0.0
2.6500 2.8530 5 10 6500 0.8901 0.3444 0.0
2.8530 2.9640 5 10 6500 0.8969 0.2368 0.0
2.9640 3.1390 5 10 6500 0.9772 0.0798 0.0
3.1390 3.4890 5 10 6500 1.0228 0.0495 0.0
3.4890 3.8390 5 10 6500 0.9748 -0.0414 0.0
3.8390 5.1910 5 10 6500 0.9224 0.3783 0.0
