{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8749 -0.2986 0.0
-3.8390 -3.4890 5 10 6500 0.9570 -0.2996 0.0
-3.4890 -3.1390 5 10 6500 1.0149 -0.1001 0.0
-3.1390 -2.9640 5 10 6500 1.0001 0.2192 0.0
-2.9640 -2.8530 5 10 6500 0.9339 0.4297 0.0
-2.8530 -2.6500 5 10 6500 0.9049 0.2780 0.0
-2.6500 -2.5000 5 10 6500 0.9168 0.2811 0.0
-2.5000 -2.3220 5 10 6500 0.9283 0.1766 0.0
-2.3220 -2.1720 5 10 6500 0.9495 0.1089 0.0
-2.1720 -1.9300 5 10 6500 0.9714 0.1241 0.0
-1.9300 -1.6530 5 10 6500 0.9689 0.1073 0.0
-1.6530 -1.4790 5 10 6500 0.9687 0.0553 0.0
-1.4790 -1.3050 5 10 6500 0.9802 0.0703 0.0
-1.3050 -1.0440 5 10 6500 0.9760 0.0173 0.0
-1.0440 -0.7830 5 10 6500 0.9851 0.0274 0.0
-0.7830 -0.5220 5 10 6500 0.9837 0.0441 0.0
-0.5220 -0.2610 5 10 6500 0.9799 0.0341 0.0
-0.2610 -0.0000 5 10 6500 0.9831 0.0290 0.0
0.0000 0.2610 5 10 6500 0.9831 0.0290 0.0
0.2610 0.5220 5 10 6500 0.9799 0.0341 0.0
0.5220 0.7830 5 10 6500 0.9837 0.0441 0.0
0.7830 1.0440 5 10 6500 0.9851 0.0274 0.0
1.0440 1.3050 5 10 6500 0.9760 0.0173 0.0
1.3050 1.4790 5 10 6500 0.9802 0.0703 0.0
1.4790 1.6530 5 10 6500 0.9687 0.0553 0.0
1.6530 1.9300 5 10 6500 0.9689 0.1073 0.0
1.9300 2.1720 5 10 6500 0.9714 0.1241 0.0
2.1720 2.3220 5 10 6500 0.9495 0.1089 0.0
2.3220 2.5000 5 10 6500 0.9283 0.1766 0.0
2.5000 2.6500 5 10 6500 0.9168 0.2811 0.0
2.6500 2.8530 5 10 6500 0.9049 0.2780 0.0
2.8530 2.9640 5 10 6500 0.9339 0.4297 0.0
2.9640 3.1390 5 10 6500 1.0001 0.2192 0.0
3.1390 3.4890 5 10 6500 1.0149 -0.1001 0.0
3.4890 3.8390 5 10 6500 0.9570 -0.2996 0.0
3.8390 5.1910 5 10 6500 0.8749 -0.2986 0.0
