{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9157 0.1866 0.0
-3.8390 -3.4890 5 10 6500 0.9885 -0.0521 0.0
-3.4890 -3.1390 5 10 6500 1.0266 -0.0765 0.0
-3.1390 -2.9640 5 10 6500 1.0145 0.1315 0.0
-2.9640 -2.8530 5 10 6500 1.1242 0.9180 0.0
-2.8530 -2.6500 5 10 6500 1.0802 0.5566 0.0
-2.6500 -2.5000 5 10 6500 1.0128 0.4918 0.0
-2.5000 -2.3220 5 10 6500 0.9604 0.1661 0.0
-2.3220 -2.1720 5 10 6500 0.9582 0.0571 0.0
-2.1720 -1.9300 5 10 6500 0.9661 0.1132 0.0
-1.9300 -1.6530 5 10 6500 0.9670 0.0744 0.0
-1.6530 -1.4790 5 10 6500 0.9653 0.0507 0.0
-1.4790 -1.3050 5 10 6500 0.9734 0.0433 0.0
-1.3050 -1.0440 5 10 6500 0.9707 -0.0370 0.0
-1.0440 -0.7830 5 10 6500 0.9786 0.0133 0.0
-0.7830 -0.5220 5 10 6500 0.9777 0.0144 0.0
-0.5220 -0.2610 5 10 6500 0.9769 -0.0086 0.0
-0.2610 -0.0000 5 10 6500 0.9742 0.0286 0.0
0.0000 0.2610 5 10 6500 0.9742 0.0286 0.0
0.2610 0.5220 5 10 6500 0.9769 -0.0086 0.0
0.5220 0.7830 5 10 6500 0.9777 0.0144 0.0
0.7830 1.0440 5 10 6500 0.9786 0.0133 0.0
1.0440 1.3050 5 10 6500 0.9707 -0.0370 0.0
1.3050 1.4790 5 10 6500 0.9734 0.0433 0.0
1.4790 1.6530 5 10 6500 0.9653 0.0507 0.0
1.6530 1.9300 5 10 6500 0.9670 0.0744 0.0
1.9300 2.1720 5 10 6500 0.9661 0.1132 0.0
2.1720 2.3220 5 10 6500 0.9582 0.0571 0.0
2.3220 2.5000 5 10 6500 0.9604 0.1661 0.0
2.5000 2.6500 5 10 6500 1.0128 0.4918 0.0
2.6500 2.8530 5 10 6500 1.0802 0.5566 0.0
2.8530 2.9640 5 10 6500 1.1242 0.9180 0.0
2.9640 3.1390 5 10 6500 1.0145 0.1315 0.0
3.1390 3.4890 5 10 6500 1.0266 -0.0765 0.0
3.4890 3.8390 5 10 6500 0.9885 -0.0521 0.0
3.8390 5.1910 5 10 6500 0.9157 0.1866 0.0
